                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2317,                 1.7952,                 1.2659,                0.00516,                0.12009,                0.00132,                0.00067,                 2.7852,                    inf,                 7.3697,             0.00065957,             0.00065957,             0.00065957
                      2,                  1.652,                  1.727,                 1.5344,                0.00365,                0.24891,                0.00222,                0.00103,                 2.5103,                 97.105,                 2.8098,              0.0013219,              0.0013219,              0.0013219
                      3,                 1.6544,                 1.6452,                 1.5461,                0.13544,                0.11135,                0.03031,                0.01485,                 2.1953,                 5.9477,                 2.0014,              0.0019798,              0.0019798,              0.0019798
                      4,                 1.5728,                 1.5056,                 1.4667,                0.46509,                0.33843,                0.34453,                0.20641,                 1.4903,                 4.1584,                  1.459,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.5146,                 1.4766,                 1.4728,                0.61536,                 0.5131,                0.53079,                0.31167,                 1.6025,                 2.0837,                 1.5057,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.4445,                 1.3806,                  1.409,                0.78187,                0.54784,                0.66799,                0.41392,                 1.3455,                 1.3636,                 1.3427,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.3742,                 1.2909,                  1.355,                0.64131,                0.62445,                0.64351,                0.41101,                 1.3156,                 1.3153,                 1.2704,               0.001967,               0.001967,               0.001967
                      8,                 1.3571,                 1.2815,                 1.3366,                0.78505,                0.65388,                0.75596,                0.49872,                 1.1932,                   1.13,                 1.2235,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.3146,                  1.184,                 1.3146,                0.87546,                0.69068,                0.80957,                0.53834,                 1.1922,                 1.1683,                 1.2338,              0.0019538,              0.0019538,              0.0019538
                     10,                  1.278,                 1.1661,                 1.2975,                0.78049,                0.74526,                0.81904,                0.55204,                 1.0798,                 1.2019,                 1.1496,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.1943,                 1.0709,                 1.2473,                0.82704,                0.67249,                0.76422,                0.51689,                  1.136,                 1.0843,                 1.1821,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.1807,                  1.089,                 1.2362,                0.78263,                0.67467,                0.78256,                0.52304,                  1.145,                 1.0184,                 1.1833,               0.001934,               0.001934,               0.001934
                     13,                 1.1719,                 1.0059,                 1.2285,                0.74574,                0.75764,                0.79787,                0.55353,                 1.0219,                 1.0228,                 1.0999,              0.0019274,              0.0019274,              0.0019274
                     14,                  1.145,                 1.0011,                 1.2092,                0.87167,                0.74672,                0.84986,                0.59951,                 1.0024,                0.88643,                 1.1205,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.1551,                 1.0296,                 1.2224,                0.82568,                0.73144,                0.82288,                0.57689,                  1.045,                0.93868,                 1.1215,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.1479,                0.98293,                 1.2201,                0.82049,                0.80837,                0.87339,                0.60007,                 1.0261,                0.83815,                 1.1197,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.1141,                0.97449,                 1.2026,                0.82973,                0.77729,                0.83757,                  0.593,                 1.0253,                0.82465,                 1.1153,               0.001901,               0.001901,               0.001901
                     18,                 1.0819,                0.92217,                 1.1827,                0.85899,                0.81878,                0.88301,                0.62855,                0.94842,                0.77817,                 1.0679,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.0724,                0.92727,                 1.1791,                0.85334,                0.64793,                0.74496,                0.52361,                 1.1147,                 1.0755,                  1.151,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.0774,                0.92126,                 1.1832,                0.84947,                 0.8255,                0.86736,                0.62081,                0.96622,                0.78571,                 1.0556,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.0854,                0.92272,                 1.1837,                0.85968,                0.80131,                 0.8783,                0.62964,                 1.0047,                0.78339,                 1.1162,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.0442,                0.90786,                 1.1702,                0.82251,                0.82968,                0.88384,                0.62592,                0.97775,                0.80725,                 1.0868,               0.001868,               0.001868,               0.001868
